Age;Fare;PassengerId;Pclass;Sex;Survived;Embarked_C;Embarked_Q;Embarked_S;pca_sibsp_parch
22;7;1;3;0;0;0;0;1;0.2226269457088483
38;71;2;1;1;1;1;0;0;0.22262694570885094
26;7;3;3;1;1;0;0;1;-0.6277626505388526
35;53;4;1;1;1;0;0;1;0.22262694570885086
35;8;5;3;0;0;0;0;1;-0.6277626505388526
30;8;6;3;0;0;0;1;0;-0.6277626505388526
54;51;7;1;0;0;0;0;1;-0.6277626505388526
2;21;8;3;0;0;0;0;1;2.4495596657926115
27;11;9;3;1;1;0;0;1;0.424544404637854
14;30;10;2;1;1;1;0;0;0.22262694570885086
4;16;11;3;1;1;0;0;1;0.7487804732972041
58;26;12;1;1;1;0;0;1;-0.6277626505388526
20;8;13;3;0;0;0;0;1;-0.6277626505388526
39;31;14;3;0;0;0;0;1;2.853394583650618
14;7;15;3;1;0;0;0;1;-0.6277626505388526
55;16;16;2;1;1;0;0;1;-0.6277626505388526
2;29;17;3;0;0;0;1;0;3.2999492620403146
30;13;18;2;0;1;0;0;1;-0.6277626505388526
31;18;19;3;1;0;0;0;1;0.22262694570885086
30;7;20;3;1;1;1;0;0;-0.6277626505388526
35;26;21;2;0;0;0;0;1;-0.6277626505388526
34;13;22;2;0;1;0;0;1;-0.6277626505388526
15;8;23;3;1;1;0;1;0;-0.6277626505388526
28;35;24;1;0;1;0;0;1;-0.6277626505388526
8;21;25;3;1;0;0;0;1;2.4495596657926115
38;31;26;3;1;1;0;0;1;2.853394583650618
30;7;27;3;0;0;1;0;0;-0.6277626505388526
19;263;28;1;0;0;0;0;1;2.975713193380964
30;7;29;3;1;1;0;1;0;-0.6277626505388526
30;7;30;3;0;0;0;0;1;-0.6277626505388526
40;27;31;1;0;0;1;0;0;-0.6277626505388526
30;146;32;1;1;1;1;0;0;0.22262694570885086
30;7;33;3;1;1;0;1;0;-0.6277626505388526
66;10;34;2;0;0;0;0;1;-0.6277626505388526
28;82;35;1;0;0;1;0;0;0.22262694570885086
42;52;36;1;0;0;0;0;1;0.22262694570885086
30;7;37;3;0;1;1;0;0;-0.6277626505388526
21;8;38;3;0;0;0;0;1;-0.6277626505388526
18;18;39;3;1;0;0;0;1;1.0730165419565543
14;11;40;3;1;1;1;0;0;0.22262694570885086
40;9;41;3;1;0;0;0;1;0.22262694570885086
27;21;42;2;1;0;0;0;1;0.22262694570885086
30;7;43;3;0;0;1;0;0;-0.6277626505388526
3;41;44;2;1;1;1;0;0;1.2749340008855574
19;7;45;3;1;1;0;1;0;-0.6277626505388526
30;8;46;3;0;0;0;0;1;-0.6277626505388526
30;15;47;3;0;0;0;1;0;0.22262694570885086
30;7;48;3;1;1;0;1;0;-0.6277626505388526
30;21;49;3;0;0;1;0;0;1.0730165419565543
18;17;50;3;1;0;0;0;1;0.22262694570885086
7;39;51;3;0;0;0;0;1;3.2999492620403146
21;7;52;3;0;0;0;0;1;-0.6277626505388526
49;76;53;1;1;1;1;0;0;0.22262694570885086
29;26;54;2;1;1;0;0;1;0.22262694570885086
65;61;55;1;0;0;1;0;0;-0.10160912295049938
30;35;56;1;0;1;0;0;1;-0.6277626505388526
21;10;57;2;1;1;0;0;1;-0.6277626505388526
28;7;58;3;0;0;1;0;0;-0.6277626505388526
5;27;59;2;1;1;0;0;1;1.2749340008855574
11;46;60;3;0;0;0;0;1;4.676492385876371
22;7;61;3;0;0;1;0;0;-0.6277626505388526
45;83;63;1;0;0;0;0;1;0.22262694570885086
4;27;64;3;0;0;0;0;1;2.975713193380964
30;27;65;1;0;0;1;0;0;-0.6277626505388526
30;15;66;3;0;1;1;0;0;0.7487804732972041
29;10;67;2;1;1;0;0;1;-0.6277626505388526
19;8;68;3;0;0;0;0;1;-0.6277626505388526
17;7;69;3;1;1;0;0;1;3.8261027896286683
26;8;70;3;0;0;0;0;1;1.0730165419565543
32;10;71;2;0;0;0;0;1;-0.6277626505388526
16;46;72;3;1;0;0;0;1;4.676492385876371
21;73;73;2;0;0;0;0;1;-0.6277626505388526
26;14;74;3;0;0;1;0;0;0.22262694570885086
32;56;75;3;0;1;0;0;1;-0.6277626505388526
25;7;76;3;0;0;0;0;1;-0.6277626505388526
30;7;77;3;0;0;0;0;1;-0.6277626505388526
30;8;78;3;0;0;0;0;1;-0.6277626505388526
0;29;79;2;0;1;0;0;1;0.424544404637854
30;12;80;3;1;1;0;0;1;-0.6277626505388526
22;9;81;3;0;0;0;0;1;-0.6277626505388526
29;9;82;3;0;1;0;0;1;-0.6277626505388526
30;7;83;3;1;1;0;1;0;-0.6277626505388526
28;47;84;1;0;0;0;0;1;-0.6277626505388526
17;10;85;2;1;1;0;0;1;-0.6277626505388526
33;15;86;3;1;1;0;0;1;1.9234061382042578
16;34;87;3;0;0;0;0;1;1.8010875284739107
30;8;88;3;0;0;0;0;1;-0.6277626505388526
23;263;89;1;1;1;0;0;1;2.975713193380964
24;8;90;3;0;0;0;0;1;-0.6277626505388526
29;8;91;3;0;0;0;0;1;-0.6277626505388526
20;7;92;3;0;0;0;0;1;-0.6277626505388526
46;61;93;1;0;0;0;0;1;0.22262694570885086
26;20;94;3;0;0;0;0;1;1.2749340008855574
59;7;95;3;0;0;0;0;1;-0.6277626505388526
30;8;96;3;0;0;0;0;1;-0.6277626505388526
71;34;97;1;0;0;1;0;0;-0.6277626505388526
23;63;98;1;0;1;1;0;0;-0.10160912295049938
34;23;99;2;1;1;0;0;1;-0.10160912295049938
34;26;100;2;0;0;0;0;1;0.22262694570885086
28;7;101;3;1;0;0;0;1;-0.6277626505388526
30;7;102;3;0;0;0;0;1;-0.6277626505388526
21;77;103;1;0;0;0;0;1;-0.10160912295049938
33;8;104;3;0;0;0;0;1;-0.6277626505388526
37;7;105;3;0;0;0;0;1;1.0730165419565543
28;7;106;3;0;0;0;0;1;-0.6277626505388526
21;7;107;3;1;1;0;0;1;-0.6277626505388526
30;7;108;3;0;1;0;0;1;-0.6277626505388526
38;7;109;3;0;0;0;0;1;-0.6277626505388526
30;24;110;3;1;1;0;1;0;0.22262694570885086
47;52;111;1;0;0;0;0;1;-0.6277626505388526
14;14;112;3;1;0;1;0;0;0.22262694570885086
